"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"355",11,"11_621aac02",-2,2,"Left_lead",0,1,1.05345124055299,0.0534512405529948,"0",0.188302396767154,"Male",0,75,"621aac02"
"356",11,"11_621aac02",-1,1,"Left_lead",0,1,1.01962741585657,0.019627415856569,"1",0.185690023938099,"Male",1,76,"621aac02"
"380",11,"11_621aac02",1,1,"Left_lead",0,1,1.00720424634614,0.0072042463461417,"1",0.218201117348575,"Male",1,98,"621aac02"
"385",12,"12_3736e1b9",-4,4,"Left_lead",1,0,1.08693094248131,0.0869309424813058,"1",0.22707376525565,"Female",0,101,"3736e1b9"
"390",12,"12_3736e1b9",-4,4,"Left_lead",1,0,0.969143853484496,-0.0308561465155042,"1",0.2299372243626,"Female",1,106,"3736e1b9"
"394",12,"12_3736e1b9",1,1,"Left_lead",1,0,1.22757004969778,0.227570049697777,"0",0.13881936260925,"Female",0,11,"3736e1b9"
"406",12,"12_3736e1b9",-4,4,"Left_lead",1,0,1.07276689814514,0.0727668981451417,"1",0.234709188657705,"Female",1,120,"3736e1b9"
"412",12,"12_3736e1b9",1,1,"Left_lead",1,0,1.12129417415505,0.121294174155051,"1",0.193709720135245,"Female",1,126,"3736e1b9"
"413",12,"12_3736e1b9",-2,2,"Left_lead",1,0,1.10495778338218,0.104957783382184,"1",0.191950077474705,"Female",0,127,"3736e1b9"
"419",12,"12_3736e1b9",-3,3,"Left_lead",1,0,1.99108387768319,0.991083877683193,"1",0.17590179960985,"Female",0,18,"3736e1b9"
"423",12,"12_3736e1b9",-1,1,"Left_lead",1,0,1.63288198208575,0.632881982085753,"0",0.1607602291638,"Female",0,21,"3736e1b9"
"429",12,"12_3736e1b9",-3,3,"Left_lead",1,0,1.14703089542223,0.147030895422233,"1",0.177875803282765,"Female",0,27,"3736e1b9"
"446",12,"12_3736e1b9",1,1,"Left_lead",1,0,1.10620171083869,0.106201710838688,"0",0.191798501941956,"Female",0,42,"3736e1b9"
"448",12,"12_3736e1b9",-3,3,"Left_lead",1,0,1.10760134892636,0.107601348926364,"0",0.17601668800817,"Female",1,44,"3736e1b9"
"453",12,"12_3736e1b9",3,3,"Left_lead",1,0,0.897038364857957,-0.102961635142043,"1",0.11934352519695,"Female",1,49,"3736e1b9"
"464",12,"12_3736e1b9",2,2,"Left_lead",1,0,1.22071318643787,0.220713186437869,"1",0.229235478224955,"Female",0,59,"3736e1b9"
